"filename", "language", "JavaScript", "Markdown", "JSON with Comments", "JSON", "HTML", "PHP", "JavaScript JSX", "PostCSS", "XML", "YAML", "comment", "blank", "total"
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\my-app\src\context\AuthContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 7, 42
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\my-app\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 12, 112
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\my-app\src\lib\axios.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 28
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\my-app\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\my-app\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\package.json", "JSON", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\phpunit.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 1, 38
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\pint.json", "JSON", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 1, 63
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\public\css\filament\filament\app.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 2
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\public\fonts\filament\filament\inter\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\public\index.php", "PHP", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 4, 8, 23
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\public\js\filament\actions\actions.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\public\js\filament\filament\app.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\public\js\filament\filament\echo.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
